
==========================================================================================================================================

Serpent continuous-energy Monte Carlo code version 1.1.19

Input file:   MOXEUS_00002.se
Date:         Mon Mar 17 15:18:20 2025
Title:        MOXEUS_00002

Random seed:  1742221100

Memory allocated for DATA array:     2762269640 bytes (2634.31 Mb)
Memory allocated for RESULTS array:    5174736 bytes (5053.45 kb)
Memory allocated for ASCII array:       436766 bytes (426.53 kb)
Total allocated memory:              2767881142 bytes (2639.66 Mb)

==========================================================================================================================================

XS data (1579 isotopes)

==========================================================================================================================================

Columns: 1 - Pointer in DATA array
         2 - Nuclide alias
         3 - Nuclide name in ace file
         4 - Nuclide ZAI
         5 - Atomic weight ratio
         6 - Temperature (K)
105/1579   100044 Cd-108.09c  48108.09c 481080 107.90  900 8753 /home/serpent/xs/jeff311/acedata/48108JEF311.ace
106/1579   100596 Cd-110.09c  48110.09c 481100 109.90  900 8753 /home/serpent/xs/jeff311/acedata/48110JEF311.ace
107/1579   101148 Cd-111.09c  48111.09c 481110 110.90  900 8753 /home/serpent/xs/jeff311/acedata/48111JEF311.ace
108/1579   101700 Cd-112.09c  48112.09c 481120 111.90  900 8753 /home/serpent/xs/jeff311/acedata/48112JEF311.ace
109/1579   102252 Cd-113.09c  48113.09c 481130 112.90  900 8241 /home/serpent/xs/jeff311/acedata/48113JEF311.ace
110/1579   102804 Cd-114.09c  48114.09c 481140 113.90  900 8753 /home/serpent/xs/jeff311/acedata/48114JEF311.ace
111/1579   103356 Cd-116.09c  48116.09c 481160 115.90  900 8753 /home/serpent/xs/jeff311/acedata/48116JEF311.ace
112/1579   103908 Cd-115m.09c  48315.09c 481151 114.91  900 8737 /home/serpent/xs/jeff311/acedata/48315JEF311.ace
113/1579   105012 In-113.09c  49113.09c 491130 112.90  900 8241 /home/serpent/xs/jeff311/acedata/49113JEF311.ace
114/1579   105564 In-115.09c  49115.09c 491150 114.90  900 8753 /home/serpent/xs/jeff311/acedata/49115JEF311.ace
115/1579   105978  50000.06c  50000.06c 500000 118.34  600 8209 /home/serpent/xs/jeff311/acedata/50000CNDL21.ace
116/1579   106668 Sn-112.09c  50112.09c 501120 111.91  900 8753 /home/serpent/xs/jeff311/acedata/50112JEF311.ace
117/1579   107220 Sn-113.09c  50113.09c 501130 112.90  900 8241 /home/serpent/xs/jeff311/acedata/50113ENDF7.ace
118/1579   107772 Sn-114.09c  50114.09c 501140 113.90  900 8753 /home/serpent/xs/jeff311/acedata/50114JEF311.ace
119/1579   108324 Sn-115.09c  50115.09c 501150 114.90  900 8753 /home/serpent/xs/jeff311/acedata/50115JEF311.ace
120/1579   108876 Sn-116.09c  50116.09c 501160 115.90  900 8753 /home/serpent/xs/jeff311/acedata/50116JEF311.ace
121/1579   109428 Sn-117.09c  50117.09c 501170 116.90  900 8753 /home/serpent/xs/jeff311/acedata/50117JEF311.ace
122/1579   109980 Sn-118.09c  50118.09c 501180 117.90  900 8753 /home/serpent/xs/jeff311/acedata/50118JEF311.ace
123/1579   110532 Sn-119.09c  50119.09c 501190 118.90  900 8753 /home/serpent/xs/jeff311/acedata/50119JEF311.ace
124/1579   111084 Sn-120.09c  50120.09c 501200 119.90  900 8753 /home/serpent/xs/jeff311/acedata/50120JEF311.ace
125/1579   111636 Sn-122.09c  50122.09c 501220 121.90  900 8753 /home/serpent/xs/jeff311/acedata/50122JEF311.ace
126/1579   112188 Sn-123.09c  50123.09c 501230 122.91  900 8737 /home/serpent/xs/jeff311/acedata/50123JEF311.ace
127/1579   112740 Sn-124.09c  50124.09c 501240 123.91  900 8753 /home/serpent/xs/jeff311/acedata/50124JEF311.ace
128/1579   113292 Sn-125.09c  50125.09c 501250 124.91  900 8737 /home/serpent/xs/jeff311/acedata/50125JEF311.ace
129/1579   113844 Sn-126.09c  50126.09c 501260 125.91  900 8737 /home/serpent/xs/jeff311/acedata/50126JEF311.ace
130/1579   114948 Sb-121.09c  51121.09c 511210 120.90  900 8753 /home/serpent/xs/jeff311/acedata/51121JEF311.ace
131/1579   115500 Sb-123.09c  51123.09c 511230 122.90  900 8753 /home/serpent/xs/jeff311/acedata/51123JEF311.ace
132/1579   116052 Sb-124.09c  51124.09c 511240 123.91  900 8737 /home/serpent/xs/jeff311/acedata/51124JEF311.ace
133/1579   116604 Sb-125.09c  51125.09c 511250 124.91  900 8737 /home/serpent/xs/jeff311/acedata/51125JEF311.ace
134/1579   117156 Sb-126.09c  51126.09c 511260 125.91  900 8737 /home/serpent/xs/jeff311/acedata/51126JEF311.ace
135/1579   117708 Te-120.09c  52120.09c 521200 119.90  900 8737 /home/serpent/xs/jeff311/acedata/52120JEF311.ace
136/1579   118260 Te-122.09c  52122.09c 521220 121.90  900 8737 /home/serpent/xs/jeff311/acedata/52122JEF311.ace
137/1579   118812 Te-123.09c  52123.09c 521230 122.90  900 8737 /home/serpent/xs/jeff311/acedata/52123JEF311.ace
138/1579   119364 Te-124.09c  52124.09c 521240 123.90  900 8737 /home/serpent/xs/jeff311/acedata/52124JEF311.ace
139/1579   119916 Te-125.09c  52125.09c 521250 124.90  900 8737 /home/serpent/xs/jeff311/acedata/52125JEF311.ace
140/1579   120468 Te-126.09c  52126.09c 521260 125.90  900 8737 /home/serpent/xs/jeff311/acedata/52126JEF311.ace
141/1579   121020 Te-128.09c  52128.09c 521280 127.90  900 8737 /home/serpent/xs/jeff311/acedata/52128JEF311.ace
142/1579   121572 Te-130.09c  52130.09c 521300 129.91  900 8737 /home/serpent/xs/jeff311/acedata/52130JEF311.ace
143/1579   122124 Te-132.09c  52132.09c 521320 131.91  900 8225 /home/serpent/xs/jeff311/acedata/52132JEF311.ace
144/1579   122676 Te-127m.09c  52327.09c 521271 126.91  900 8737 /home/serpent/xs/jeff311/acedata/52327JEF311.ace
145/1579   123228 Te-129m.09c  52329.09c 521291 128.91  900 8225 /home/serpent/xs/jeff311/acedata/52329JEF311.ace
146/1579   123780  I-127.09c  53127.09c 531270 126.90  900 8753 /home/serpent/xs/jeff311/acedata/53127JEF311.ace
147/1579   124332  I-129.09c  53129.09c 531290 128.90  900 8241 /home/serpent/xs/jeff311/acedata/53129JEF311.ace
148/1579   124884  I-130.09c  53130.09c 531300 129.91  900 8737 /home/serpent/xs/jeff311/acedata/53130JEF311.ace
149/1579   125436  I-131.09c  53131.09c 531310 130.91  900 8225 /home/serpent/xs/jeff311/acedata/53131JEF311.ace
150/1579   125988  I-135.09c  53135.09c 531350 134.91  900 8225 /home/serpent/xs/jeff311/acedata/53135JEF311.ace
151/1579   126540 Xe-123.09c  54123.09c 541230 122.91  900 8753 /home/serpent/xs/jeff311/acedata/54123ENDF7.ace
152/1579   127092 Xe-124.09c  54124.09c 541240 123.91  900 8753 /home/serpent/xs/jeff311/acedata/54124JEF311.ace
153/1579   127644 Xe-126.09c  54126.09c 541260 125.90  900 8753 /home/serpent/xs/jeff311/acedata/54126JEF311.ace
154/1579   128196 Xe-128.09c  54128.09c 541280 127.90  900 8753 /home/serpent/xs/jeff311/acedata/54128JEF311.ace
155/1579   128748 Xe-129.09c  54129.09c 541290 128.90  900 8241 /home/serpent/xs/jeff311/acedata/54129JEF311.ace
156/1579   129300 Xe-130.09c  54130.09c 541300 129.90  900 8753 /home/serpent/xs/jeff311/acedata/54130JEF311.ace
157/1579   129852 Xe-131.09c  54131.09c 541310 130.91  900 8241 /home/serpent/xs/jeff311/acedata/54131JEF311.ace
158/1579   130404 Xe-132.09c  54132.09c 541320 131.90  900 8241 /home/serpent/xs/jeff311/acedata/54132JEF311.ace
159/1579   130956 Xe-133.09c  54133.09c 541330 132.91  900 8225 /home/serpent/xs/jeff311/acedata/54133JEF311.ace
160/1579   131508 Xe-134.09c  54134.09c 541340 133.91  900 8241 /home/serpent/xs/jeff311/acedata/54134JEF311.ace
161/1579   132060 Xe-135.09c  54135.09c 541350 134.91  900 8225 /home/serpent/xs/jeff311/acedata/54135JEF311.ace
162/1579   132612 Xe-136.09c  54136.09c 541360 135.91  900 8241 /home/serpent/xs/jeff311/acedata/54136JEF311.ace
163/1579   133164 Cs-133.09c  55133.09c 551330 132.91  900 8241 /home/serpent/xs/jeff311/acedata/55133JEF311.ace
164/1579   133716 Cs-134.09c  55134.09c 551340 133.91  900 8225 /home/serpent/xs/jeff311/acedata/55134JEF311.ace
165/1579   134268 Cs-135.09c  55135.09c 551350 134.91  900 8241 /home/serpent/xs/jeff311/acedata/55135JEF311.ace
166/1579   134820 Cs-136.09c  55136.09c 551360 135.91  900 8225 /home/serpent/xs/jeff311/acedata/55136JEF311.ace
167/1579   135372 Cs-137.09c  55137.09c 551370 136.91  900 8241 /home/serpent/xs/jeff311/acedata/55137JEF311.ace
168/1579   135924 Ba-130.09c  56130.09c 561300 129.91  900 8753 /home/serpent/xs/jeff311/acedata/56130JEF311.ace
169/1579   136476 Ba-132.09c  56132.09c 561320 131.91  900 8241 /home/serpent/xs/jeff311/acedata/56132JEF311.ace
170/1579   137028 Ba-133.09c  56133.09c 561330 132.91  900 8241 /home/serpent/xs/jeff311/acedata/56133ENDF7.ace
171/1579   137580 Ba-134.09c  56134.09c 561340 133.90  900 8241 /home/serpent/xs/jeff311/acedata/56134JEF311.ace
172/1579   138132 Ba-135.09c  56135.09c 561350 134.91  900 8241 /home/serpent/xs/jeff311/acedata/56135JEF311.ace
173/1579   138684 Ba-136.09c  56136.09c 561360 135.90  900 8241 /home/serpent/xs/jeff311/acedata/56136JEF311.ace
174/1579   139236 Ba-137.09c  56137.09c 561370 136.91  900 8241 /home/serpent/xs/jeff311/acedata/56137JEF311.ace
175/1579   139788 Ba-138.09c  56138.09c 561380 137.90  900 8753 /home/serpent/xs/jeff311/acedata/56138JEF311.ace
176/1579   140340 Ba-140.09c  56140.09c 561400 139.91  900 8753 /home/serpent/xs/jeff311/acedata/56140JEF311.ace
177/1579   140892 La-138.09c  57138.09c 571380 137.91  900 8753 /home/serpent/xs/jeff311/acedata/57138JEF311.ace
178/1579   141444 La-139.09c  57139.09c 571390 138.91  900 8753 /home/serpent/xs/jeff311/acedata/57139JEF311.ace
179/1579   141996 La-140.09c  57140.09c 571400 139.91  900 8737 /home/serpent/xs/jeff311/acedata/57140JEF311.ace
180/1579   142548 Ce-136.09c  58136.09c 581360 135.91  900 8241 /home/serpent/xs/jeff311/acedata/58136ENDF7.ace
181/1579   143100 Ce-138.09c  58138.09c 581380 137.91  900 8753 /home/serpent/xs/jeff311/acedata/58138ENDF7.ace
182/1579   143652 Ce-139.09c  58139.09c 581390 138.91  900 8753 /home/serpent/xs/jeff311/acedata/58139ENDF7.ace
183/1579   144204 Ce-140.09c  58140.09c 581400 139.91  900 8737 /home/serpent/xs/jeff311/acedata/58140JEF311.ace
184/1579   144756 Ce-141.09c  58141.09c 581410 140.91  900 8753 /home/serpent/xs/jeff311/acedata/58141JEF311.ace
185/1579   145308 Ce-142.09c  58142.09c 581420 141.91  900 8753 /home/serpent/xs/jeff311/acedata/58142JEF311.ace
186/1579   145860 Ce-143.09c  58143.09c 581430 142.91  900 8225 /home/serpent/xs/jeff311/acedata/58143JEF311.ace
187/1579   146412 Ce-144.09c  58144.09c 581440 143.91  900 8753 /home/serpent/xs/jeff311/acedata/58144JEF311.ace
188/1579   146964 Pr-141.09c  59141.09c 591410 140.91  900 8753 /home/serpent/xs/jeff311/acedata/59141JEF311.ace
189/1579   147516 Pr-142.09c  59142.09c 591420 141.91  900 8737 /home/serpent/xs/jeff311/acedata/59142JEF311.ace
190/1579   148068 Pr-143.09c  59143.09c 591430 142.91  900 8225 /home/serpent/xs/jeff311/acedata/59143JEF311.ace
