
==========================================================================================================================================

Serpent continuous-energy Monte Carlo code version 1.1.19

Input file:   MOXEUS_00028.se
Date:         Wed Mar 19 10:52:32 2025
Title:        MOXEUS_00014

Random seed:  1742377952

Memory allocated for DATA array:     2762269640 bytes (2634.31 Mb)
Memory allocated for RESULTS array:    5174736 bytes (5053.45 kb)
Memory allocated for ASCII array:       436762 bytes (426.53 kb)
Total allocated memory:              2767881138 bytes (2639.66 Mb)

==========================================================================================================================================

XS data (1579 isotopes)

==========================================================================================================================================

Columns: 1 - Pointer in DATA array
         2 - Nuclide alias
         3 - Nuclide name in ace file
         4 - Nuclide ZAI
         5 - Atomic weight ratio
         6 - Temperature (K)
111/1579   103356 Cd-116.09c  48116.09c 481160 115.90  900 8753 /home/serpent/xs/jeff311/acedata/48116JEF311.ace
112/1579   103908 Cd-115m.09c  48315.09c 481151 114.91  900 8737 /home/serpent/xs/jeff311/acedata/48315JEF311.ace
113/1579   105012 In-113.09c  49113.09c 491130 112.90  900 8241 /home/serpent/xs/jeff311/acedata/49113JEF311.ace
114/1579   105564 In-115.09c  49115.09c 491150 114.90  900 8753 /home/serpent/xs/jeff311/acedata/49115JEF311.ace
115/1579   105978  50000.06c  50000.06c 500000 118.34  600 8209 /home/serpent/xs/jeff311/acedata/50000CNDL21.ace
116/1579   106668 Sn-112.09c  50112.09c 501120 111.91  900 8753 /home/serpent/xs/jeff311/acedata/50112JEF311.ace
117/1579   107220 Sn-113.09c  50113.09c 501130 112.90  900 8241 /home/serpent/xs/jeff311/acedata/50113ENDF7.ace
118/1579   107772 Sn-114.09c  50114.09c 501140 113.90  900 8753 /home/serpent/xs/jeff311/acedata/50114JEF311.ace
119/1579   108324 Sn-115.09c  50115.09c 501150 114.90  900 8753 /home/serpent/xs/jeff311/acedata/50115JEF311.ace
120/1579   108876 Sn-116.09c  50116.09c 501160 115.90  900 8753 /home/serpent/xs/jeff311/acedata/50116JEF311.ace
121/1579   109428 Sn-117.09c  50117.09c 501170 116.90  900 8753 /home/serpent/xs/jeff311/acedata/50117JEF311.ace
122/1579   109980 Sn-118.09c  50118.09c 501180 117.90  900 8753 /home/serpent/xs/jeff311/acedata/50118JEF311.ace
123/1579   110532 Sn-119.09c  50119.09c 501190 118.90  900 8753 /home/serpent/xs/jeff311/acedata/50119JEF311.ace
124/1579   111084 Sn-120.09c  50120.09c 501200 119.90  900 8753 /home/serpent/xs/jeff311/acedata/50120JEF311.ace
125/1579   111636 Sn-122.09c  50122.09c 501220 121.90  900 8753 /home/serpent/xs/jeff311/acedata/50122JEF311.ace
126/1579   112188 Sn-123.09c  50123.09c 501230 122.91  900 8737 /home/serpent/xs/jeff311/acedata/50123JEF311.ace
127/1579   112740 Sn-124.09c  50124.09c 501240 123.91  900 8753 /home/serpent/xs/jeff311/acedata/50124JEF311.ace
128/1579   113292 Sn-125.09c  50125.09c 501250 124.91  900 8737 /home/serpent/xs/jeff311/acedata/50125JEF311.ace
129/1579   113844 Sn-126.09c  50126.09c 501260 125.91  900 8737 /home/serpent/xs/jeff311/acedata/50126JEF311.ace
130/1579   114948 Sb-121.09c  51121.09c 511210 120.90  900 8753 /home/serpent/xs/jeff311/acedata/51121JEF311.ace
131/1579   115500 Sb-123.09c  51123.09c 511230 122.90  900 8753 /home/serpent/xs/jeff311/acedata/51123JEF311.ace
132/1579   116052 Sb-124.09c  51124.09c 511240 123.91  900 8737 /home/serpent/xs/jeff311/acedata/51124JEF311.ace
133/1579   116604 Sb-125.09c  51125.09c 511250 124.91  900 8737 /home/serpent/xs/jeff311/acedata/51125JEF311.ace
134/1579   117156 Sb-126.09c  51126.09c 511260 125.91  900 8737 /home/serpent/xs/jeff311/acedata/51126JEF311.ace
135/1579   117708 Te-120.09c  52120.09c 521200 119.90  900 8737 /home/serpent/xs/jeff311/acedata/52120JEF311.ace
136/1579   118260 Te-122.09c  52122.09c 521220 121.90  900 8737 /home/serpent/xs/jeff311/acedata/52122JEF311.ace
137/1579   118812 Te-123.09c  52123.09c 521230 122.90  900 8737 /home/serpent/xs/jeff311/acedata/52123JEF311.ace
138/1579   119364 Te-124.09c  52124.09c 521240 123.90  900 8737 /home/serpent/xs/jeff311/acedata/52124JEF311.ace
139/1579   119916 Te-125.09c  52125.09c 521250 124.90  900 8737 /home/serpent/xs/jeff311/acedata/52125JEF311.ace
140/1579   120468 Te-126.09c  52126.09c 521260 125.90  900 8737 /home/serpent/xs/jeff311/acedata/52126JEF311.ace
141/1579   121020 Te-128.09c  52128.09c 521280 127.90  900 8737 /home/serpent/xs/jeff311/acedata/52128JEF311.ace
142/1579   121572 Te-130.09c  52130.09c 521300 129.91  900 8737 /home/serpent/xs/jeff311/acedata/52130JEF311.ace
143/1579   122124 Te-132.09c  52132.09c 521320 131.91  900 8225 /home/serpent/xs/jeff311/acedata/52132JEF311.ace
144/1579   122676 Te-127m.09c  52327.09c 521271 126.91  900 8737 /home/serpent/xs/jeff311/acedata/52327JEF311.ace
145/1579   123228 Te-129m.09c  52329.09c 521291 128.91  900 8225 /home/serpent/xs/jeff311/acedata/52329JEF311.ace
146/1579   123780  I-127.09c  53127.09c 531270 126.90  900 8753 /home/serpent/xs/jeff311/acedata/53127JEF311.ace
147/1579   124332  I-129.09c  53129.09c 531290 128.90  900 8241 /home/serpent/xs/jeff311/acedata/53129JEF311.ace
148/1579   124884  I-130.09c  53130.09c 531300 129.91  900 8737 /home/serpent/xs/jeff311/acedata/53130JEF311.ace
149/1579   125436  I-131.09c  53131.09c 531310 130.91  900 8225 /home/serpent/xs/jeff311/acedata/53131JEF311.ace
150/1579   125988  I-135.09c  53135.09c 531350 134.91  900 8225 /home/serpent/xs/jeff311/acedata/53135JEF311.ace
151/1579   126540 Xe-123.09c  54123.09c 541230 122.91  900 8753 /home/serpent/xs/jeff311/acedata/54123ENDF7.ace
152/1579   127092 Xe-124.09c  54124.09c 541240 123.91  900 8753 /home/serpent/xs/jeff311/acedata/54124JEF311.ace
153/1579   127644 Xe-126.09c  54126.09c 541260 125.90  900 8753 /home/serpent/xs/jeff311/acedata/54126JEF311.ace
154/1579   128196 Xe-128.09c  54128.09c 541280 127.90  900 8753 /home/serpent/xs/jeff311/acedata/54128JEF311.ace
155/1579   128748 Xe-129.09c  54129.09c 541290 128.90  900 8241 /home/serpent/xs/jeff311/acedata/54129JEF311.ace
156/1579   129300 Xe-130.09c  54130.09c 541300 129.90  900 8753 /home/serpent/xs/jeff311/acedata/54130JEF311.ace
157/1579   129852 Xe-131.09c  54131.09c 541310 130.91  900 8241 /home/serpent/xs/jeff311/acedata/54131JEF311.ace
158/1579   130404 Xe-132.09c  54132.09c 541320 131.90  900 8241 /home/serpent/xs/jeff311/acedata/54132JEF311.ace
159/1579   130956 Xe-133.09c  54133.09c 541330 132.91  900 8225 /home/serpent/xs/jeff311/acedata/54133JEF311.ace
160/1579   131508 Xe-134.09c  54134.09c 541340 133.91  900 8241 /home/serpent/xs/jeff311/acedata/54134JEF311.ace
161/1579   132060 Xe-135.09c  54135.09c 541350 134.91  900 8225 /home/serpent/xs/jeff311/acedata/54135JEF311.ace
162/1579   132612 Xe-136.09c  54136.09c 541360 135.91  900 8241 /home/serpent/xs/jeff311/acedata/54136JEF311.ace
163/1579   133164 Cs-133.09c  55133.09c 551330 132.91  900 8241 /home/serpent/xs/jeff311/acedata/55133JEF311.ace
164/1579   133716 Cs-134.09c  55134.09c 551340 133.91  900 8225 /home/serpent/xs/jeff311/acedata/55134JEF311.ace
