
==========================================================================================================================================

Serpent continuous-energy Monte Carlo code version 1.1.19

Input file:   MOXEUS_00013.se
Date:         Tue Mar 18 09:40:32 2025
Title:        MOXEUS_00013

Random seed:  1742287232

Memory allocated for DATA array:     2607629240 bytes (2486.83 Mb)
Memory allocated for RESULTS array:    5171264 bytes (5050.06 kb)
Memory allocated for ASCII array:       436766 bytes (426.53 kb)
Total allocated memory:              2613237270 bytes (2492.18 Mb)

==========================================================================================================================================

XS data (1558 isotopes)

==========================================================================================================================================

Columns: 1 - Pointer in DATA array
         2 - Nuclide alias
         3 - Nuclide name in ace file
         4 - Nuclide ZAI
         5 - Atomic weight ratio
         6 - Temperature (K)
         7 - Options
         8 - File path

  1/1558     4088    H-1.09c   1001.09c  10010   1.01  900 8737 /home/serpent/xs/jeff311/acedata/1001JEF311.ace
  2/1558     4640    H-2.09c   1002.09c  10020   2.01  900 8753 /home/serpent/xs/jeff311/acedata/1002JEF311.ace
  3/1558     5192    H-3.09c   1003.09c  10030   3.02  900 8753 /home/serpent/xs/jeff311/acedata/1003JEF311.ace
  4/1558     6204   He-3.09c   2003.09c  20030   3.01  900 8737 /home/serpent/xs/jeff311/acedata/2003JEF311.ace
  5/1558     6756   He-4.09c   2004.09c  20040   4.00  900 8737 /home/serpent/xs/jeff311/acedata/2004JEF311.ace
  6/1558     7308   Li-6.09c   3006.09c  30060   6.02  900 8737 /home/serpent/xs/jeff311/acedata/3006JEF311.ace
  7/1558     7860   Li-7.09c   3007.09c  30070   7.02  900 8753 /home/serpent/xs/jeff311/acedata/3007JEF311.ace
  8/1558     8412   Be-7.09c   4007.09c  40070   7.01  900 8737 /home/serpent/xs/jeff311/acedata/4007ENDF7.ace
  9/1558     8964   Be-9.09c   4009.09c  40090   9.01  900 8737 /home/serpent/xs/jeff311/acedata/4009JEF311.ace
 10/1558     9378   5010.06c   5010.06c  50100  10.01  600 8193 /home/serpent/xs/jeff311/acedata/5010JEF311.ace
 11/1558     9516   B-10.09c   5010.09c  50100  10.01  900 8737 /home/serpent/xs/jeff311/acedata/5010JEF311.ace
 12/1558     9930   5011.06c   5011.06c  50110  11.01  600 8209 /home/serpent/xs/jeff311/acedata/5011JEF311.ace
